"","country","code","healthexp_usd_percap_2019","mat_mort_2017","health_exp_gdp_2019","infant_mort_2020","healthexp_usd_percap_2019_z","infant_mort_2020_z","mat_mort_2017_z","healthexp_usd_percap_2019_z_transformed","infant_mort_2020_z_transformed","mat_mort_2017_z_transformed","life_exp_2019","life_exp_2019_z","life_exp_2019_z_transformed"
"120","Nigeria","NGA",71.5,917,3.02666044,72.2,-0.569554226642987,2.62043963277469,3.10736335475071,-0.3660815522595,0.55876131044898,0.58062432557534,52.91,-2.51799836417669,-0.316951487844491
"121","Norway","NOR",8007.4,2,10.52134705,1.8,3.56930673087258,-0.978210682553376,-0.690190308669169,0.659850312587144,-1.66175637387525,-2.00834465780106,82.95853659,1.38040972110192,0.641514734086667
"122","Oman","OMN",624.7,19,4.07190228,9.5,-0.281040273380268,-0.584608304314369,-0.619634666835138,-0.143295436455343,-0.381542189924069,-1.09493125052985,78.002,0.737363353117872,0.572565322784858
"123","Pakistan","PAK",39.5,140,3.37992716,54.2,-0.586243392413787,1.70033017715103,-0.117444510251744,-0.383255057590081,0.431416869843351,-0.234662700784869,66.756,-0.72165935821222,0.357618657314982
"124","Panama","PAN",1192.8,52,7.58405781,12.3,0.0152445726944804,-0.441480166772912,-0.482673715039667,0.00657067651209774,-0.252961400331456,-0.662887743891754,77.81,0.712453842129488,0.569661062666527
"125","Papua New Guinea","PNG",65.1,145,2.30036092,35.2,-0.572892059797147,0.72910352954829,-0.0966928508887939,-0.369462354692983,0.237820997302527,-0.21946152832001,65.474,-0.887982238874248,0.324697566099688
"126","Paraguay","PRY",388.4,129,7.17281008,16.2,-0.404279331869025,-0.242123118054454,-0.163098160850234,-0.224957332082584,-0.120401340323791,-0.270105108364521,73.621,0.168985396658942,0.500920237875989
"127","Peru","PER",370.1,88,5.21506882,10,-0.413823448544202,-0.559049708324823,-0.333261767626426,-0.2319715584275,-0.355610365788261,-0.435643812582741,76.156,0.497868783927464,0.54380351369466
"128","Philippines","PHL",142.1,121,4.07676649,20.9,-0.532733754661157,-0.0018723157527227,-0.196300815830955,-0.330435590669579,-0.000813898575337343,-0.29782875255934,71.865,-0.058832839255663,0.468519708262866
"129","Poland","POL",1014,2,6.44682503,3.7,-0.0780061410498691,-0.881088017793102,-0.690190308669169,-0.0352719716068406,-0.92477438134307,-2.00834465780106,77.90487805,0.724763039155693,0.571098649148603
