country,code,healthexp_pct_gdp_2014,healthexp_pct_gdp_2015,healthexp_pct_gdp_2016,healthexp_pct_gdp_2017,healthexp_pct_gdp_2018,healthexp_pct_gdp_2019,healthexp_pct_gdp_2020,healthexp_pct_gdp_2021,healthexp_pct_gdp_2021 or latest,healthexp_PPP_2015,healthexp_usd_percap_2018,healthexp_usd_percap_2019,infant_mort_2020,mat_mort_2017
Nepal,NPL,3.47,3.26,3.9,4.77,4.43,4.24,4.39,,4.39,151,51.1,53.2,23.8,186
Netherlands,NLD,5.46,5.35,5.48,5.18,5.36,,,,5.36,"5,313",5337,5335.3,1.8,5
New Zealand,NZL,6.34,6.33,6.41,6.26,6.05,,,,6.05,"3,530",4037.5,4211,5.7,9
Nicaragua,NIC,4.08,4.08,4.08,4.36,4.47,4.6,4.63,,4.63,406,173.5,160.8,3.6,98
Niger,NER,5.1,4.49,2.96,2.58,3.46,3.53,3.84,,3.84,68,30.3,31.4,72.2,509
Nigeria,NGA,,,,,,,,,,215,66.5,71.5,13.8,917
Norway,NOR,7.7,7.57,8.03,7.91,7.64,,,,7.64,"6,222",8271.9,8007.4,23.6,2
Oman,OMN,,,,5.84,5.21,5.41,,,5.41,"1,636",678,624.7,35.3,19
Pakistan,PAK,2.47,2.65,3,2.9,,2.51,,,2.51,134,42.9,39.5,12.3,140
Panama,PAN,,2.84,2.85,2.88,2.88,3.13,3.91,,3.91,"1,543",1131.7,1192.8,10,52
Papua New Guinea,PNG,,,,1.96,1.87,,,,1.87,99,63.5,65.1,3.7,145
Paraguay,PRY,4.79,3.34,,3.09,3.28,3.47,3.3,,3.3,724,390,388.4,14.2,129
Peru,PER,3.7,3.97,3.81,3.93,3.71,3.82,4.25,,4.25,671,365.9,370.1,20.9,88
Philippines,PHL,2.79,3.33,3.57,4.4,3.13,3.23,3.88,,3.88,323,128.6,142.1,15.7,121
Poland,POL,4.94,4.81,4.63,4.56,4.62,,,,4.62,"1,704",978.7,1014,52.4,2
Portugal,PRT,5.12,4.89,,5.02,4.68,,,,4.68,"2,661",2216.3,2221.4,16.2,8
Qatar,QAT,3.61,,,2.97,,2.8,3.23,,3.23,"3,900",1730.2,1807.2,5.6,9
